"timestamp","log_control_reduction","log_control_ecoli","control_total_cod_mgcod_per_gvss","control_total_pn_to_ps","control_lb_cod_mgcod_per_gvss","control_lb_proteins_mg_per_gvss","control_lb_carbs_mg_per_gvss","control_tb_cod_mgcod_per_gvss","control_tb_proteins_mg_per_gvss","control_tb_carbs_mgcarb_per_gvss","control_tb_pn_to_ps","AB9A_DO_mg_per_L","AB9A_NO5_mgN_per_L","AB9A_NH3_mg_N_per_L","AB9C_NH3_mg_N_per_L","NSI_TEMP_C","Clarifier_9_SLR_ppd_sf","AB9_INF_FLOW_MGD","AB9A_AIRFLOW_SCFM","Control_NSEC_ASRT","Control_ASRT_d","Control_Floc_SRT_d","Control_Granule_SRT_d","Control_AGS_Weighted_SRT_d","Control_Floc_percent","Control_Granule_percent"
2022-11-02,6.5893015478636,9.64212278840172,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,7.99258992619788,0,0,5,20.772459415167,19.8457546234131,0,360.137970240378,8.691123962,5.990675546,5.990675546,6.42252987,6.01971366,93.27594682,6.724053181
2022-11-03,4.56976825893718,9.35010231435134,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,9.57547848467068,0,0,5,20.4320650683647,19.8457546234131,0,381.838426784519,8.691123962,5.990675546,5.990675546,6.42252987,6.01971366,93.27594682,6.724053181
2022-11-08,6.20366407674288,9.59560277276683,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,8.41704285503427,0,0,2.16000008583069,20.1976622055043,19.8457546234131,0,375.069135403022,3.790801764,4.254405603,4.254405603,4.497680056,4.267564044,94.59111252,5.408887478
2022-11-10,3.51242301677238,10.0774408596596,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,9.53485503588234,0,0,2.16000008583069,19.9022679683597,19.8457546234131,0,368.439377513614,3.590902567,4.254405603,4.254405603,4.497680056,4.267564044,94.59111252,5.408887478
2022-11-15,6.3397712413762,9.57498348556409,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,9.97576405563388,0,0,2.16000008583069,19.3587444041752,19.8457546234131,0,379.545235433648,3.627154589,4.024925203,4.024925203,4.307168938,4.043420304,93.44711714,6.552882861
2022-11-17,7.54935113393132,9.00699944795815,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,10,0,0,2.16000008583069,19.1714711466166,19.8457546234131,0,374.879740417093,6.44219923,6.958404039,6.958404039,7.428804834,6.988190379,93.66788055,6.332119448
2022-11-29,6.91547732507605,9.46498259034976,268,2.88,28.56,11.17,3.7,239.42,88.76,30.95,2.87,10,0,0,2.16000008583069,18.0345560090737,19.8457546234131,0,375.209239149849,5.995271206,6.60989002,6.60989002,7.068590502,6.63965637,93.51072209,6.489277906
2022-12-01,3.64753357937564,9.79255599182885,268,2.88,28.56,11.17,3.7,239.42,88.76,30.95,2.87,9.09066007222555,0,0,2.16000008583069,18.0209917277615,19.8457546234131,0,372.607344989866,5.620130539,6.60989002,6.60989002,7.068590502,6.63965637,93.51072209,6.489277906
2022-12-06,7.24919852832537,9.75266466280154,277.2,3.48,22.14,10.28,2.43,255.1,101.26,29.59,3.42,9.49936338240444,0,0,2.16000008583069,17.8678607940674,19.8457546234131,0,374.749914169669,5.990705013,6.62478423,6.62478423,7.071619046,6.653018408,93.68129401,6.318705993
2022-12-08,4.9560311600614,9.5324238711453,277.2,3.48,22.14,10.28,2.43,255.1,101.26,29.59,3.42,9.7831945050389,0,0,2.16000008583069,17.6800850602126,19.8457546234131,0,382.993721740022,6.590054512,6.62478423,6.62478423,7.071619046,6.653018408,93.68129401,6.318705993
